prioridad,score,etiquetas,title,company,location,mercado_final,is_remote,date_posted,site,busqueda,min_amount,max_amount,currency,job_url,description
P1,15,,Creative Strategist,ETHNIK LIVING,,espana,False,2026-09-10,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4463466153,
P1,15,,eCommerce Art Director,SerlinoLab,,espana,False,2026-09-09,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4465012659,
P1,15,,Creative Director,WPP Media,"Madrid, Community of Madrid, Spain",espana,False,2026-09-08,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4462523184,
P1,15,,Founding Creative Director,Jobgether,,espana,False,2026-09-08,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4463233969,
P1,15,,Social Creative & Art Director,Grupo Mambo,"Madrid, Community of Madrid, Spain",espana,False,2026-09-05,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4462625186,
P1,15,,Communications Director,Louis Vuitton,"Madrid, Community of Madrid, Spain",espana,False,2026-09-04,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4444481559,
P1,15,,Head of Creative Content,Fever,"Madrid, Community of Madrid, Spain",espana,False,2026-09-03,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4460766319,
P1,15,,Global Head of Brand,Sompo,"Madrid, Community of Madrid, Spain",espana,False,2026-09-03,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4452367988,
P1,15,,Social Creative & Art Director,We Are Social,"Madrid, Community of Madrid, Spain",espana,False,2026-09-03,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4460484248,
P1,15,,Creative Director,PyD,"Madrid, Community of Madrid, Spain",espana,False,2026-09-02,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4459951608,
